Page,Section,Index,ID,Header,Header (TR),Text,Text (TR),,
home,hero,i1,home-hero-i1,,,"Home security and comfort system <br/>
that meets your needs","İhtiyaçlarınızı karşılayan <br/> akıllı güvenlik ve konfor sistemleri
",,
home,hero,i2,home-hero-i2,,,"Easily automate and control <br/>
your home with your smartphone!",Mobil cihazlarınızla sisteminizi <br/> kolayca kontrol edip otomatikleştirin.,,
home,s1,i1,home-s1-i1,"Security alarm <br/>
and property protection","Akıllı Güvenlik alarmı
ve mülkiyet koruması",Livicom will immediately notify an owner of the appearance of unexpected visitors,"Livicom, izinsiz girişlerin ortaya çıktığını derhal sistem kullanıcısına bildirecektir.",,
home,s1,i2,home-s1-i2,"Fire and flood <br/>
protection","Yangın ve su baskınından
koruma",Quickly handle any emergency in the house and prevent devastating consequences,Evdeki herhangi bir acil durumu hızla halledin ve yıkıcı sonuçları önleyin,,
home,s1,i3,home-s1-i3,"Lighting and electrical <br/>
appliances control","Aydınlatma ve elektrikli
cihaz kontrolü","Livicom will make your life comfortable, optimize resources consumption, and save your money","Livicom Alarm ve Otomasyon Sistemi hayatınızı rahat ettirecek, kaynak tüketimini optimize edecek ve paranızı koruyacak",, 
home,s1,i4,home-s1-i4,"Heating and climate <br/>
control","İklimlendirme cihazlarının
kontrolü","Create device interaction scenarios, and easily control ventilation, air conditioning, and heating systems","Cihaz etkileşim senaryoları oluşturun ve havalandırma, klima ve ısıtma sistemlerini kolayca kontrol edin",,
home,s2,header,home-s2-header,Easily control your home with your smartphone,Sisteminizi akıllı telefonunuzla kolayca kontrol edin,The free Livicom app is available for Android and iOS,Ücretsiz Livicom uygulaması Android ve iOS için mevcuttur,,
home,s2,i1,home-s2-i1,Be Well Informed,Haberdar Olun,Receive instant notifications on your smartphone and keep track of events that occur at your home,Akıllı telefonunuza anında bildirimler alın ve sisteminizde meydana gelen olayları takip edin,,
home,s2,i2,home-s2-i2,Use Scenarios,Senaryoları Kullanın,Automate routines in your home: switch on the heat or lights remotely and configure their operation according to a schedule or event,Sisteminizdeki rutinleri otomatikleştirin: ısıyı veya ışıkları uzaktan açın ve çalışmalarını bir programa veya olaya göre yapılandırın,,
home,s2,i3,home-s2-i3,Control Your Security,Güvenliğinizi Kontrol Edin,Find out immediately about any intrusion attempt and protect the people and things that matter most,Herhangi bir izinsiz giriş teşebbüsünü hemen öğrenin ve en önemli kişileri ve şeyleri koruyun,,
home,s2,i4,home-s2-i4,"Trust, But Verify",Güven Ama Doğrula,You can open video from surveillance cameras at any time or view a recording made when an alert occurred,Güvenlik kameralarından videoyu istediğiniz zaman açabilir veya bir uyarı oluştuğunda yapılan bir kaydı görüntüleyebilirsiniz.,,
home,s2,i5,home-s2-i5,Connect Your Loved Ones,Sevdiklerinize Bağlanın,"Connect your family, friends, or neighbors to your home. They will receive an alert and come to help in a difficult situation","Ailenizi, arkadaşlarınızı veya komşularınızı sisteme dahil edin. Herhangi biri zor durumda ise haberiniz olsun ",,
home,s2,i6,home-s2-i6,Configure for Yourself,Kendiniz göre Yapılandırın,Display selected scenarios and information widgets on your home screen. Use a single button to send a command to your home.,Ana ekranınızda seçili senaryoları ve bilgi araçlarını görüntüleyin. Sisteminize bir komut göndermek için tek bir düğme kullanın.,,
home,s2,button,home-s2-button,Learn more about Livicom mobile app,Livicom Mobil'i İncele,,,,
home,s3,header,home-s3-header,Technologies that make a home smart,Bir mekanı akıllı yapan teknolojiler,"And also provide security, fault protection, and comfort","Ayrıca güvenlik, arıza koruması ve konfor sağlar",,
home,s3,i1,home-s3-i1,From Russia with Love,Rusya'dan sevgilerle,Livicom Smart Home is developed and created in Russia by one of the largest manufacturers of monitoring systems,"Livicom Smart Home, Rusya'da en büyük izleme sistemleri üreticilerinden biri tarafından oluşuruldu ve geliştirildi.",,
home,s3,i2,home-s3-i2,No wires and no drilling,Kablo ve delik yok,"Plug in Livi Smart Hub, easily configure and place your sensors, and start protecting your home",Livicom Alarm ve Otomasyon Sistemi montajcı firma tarafından kolaylıkla kurulabilir. Mekanınızın etrafına kablo çekmenize gerek yoktur.,,
home,s3,i3,home-s3-i3,Batteries last for 10 years, 10 Yıl Dayanıklı Güvenli Piller,"The system does not require any maintenance costs, and you won't need to change your batteries often",Sistem herhangi bir bakım maliyeti gerektirmez ve pillerinizi sık sık değiştirmeniz gerekmez,,
home,s3,i4,home-s3-i4,Security is our priority!,Güvenlik önceliğimizdir!,Reliable encryption methods and a crypto chip ensure the system's protection against intrusion and organized bot attacks usage,"Güvenilir şifreleme yöntemleri ve bir kripto çipi, sistemin izinsiz girişlere ve organize bot saldırılarına karşı korumasını sağlar",,
home,s3,i5,home-s3-i5,Unparalleled range,Eşsiz çekim seviyesi,Livi Smart Hub can be located up to 1 km from radio devices. Such range can cover even a large private residence with surrounding buildings,"Livi Smart Hub, kablosuz cihazlarına 1 km'ye kadar erişebilir. Bu menzil, çevredeki binalarla birlikte büyük bir özel konutu bile kapsayabilir",,
home,s3,i6,home-s3-i6,Twice Secured,İki Kez Güvenli,Livi Smart Hub uses two communication channels: Ethernet and GSM. Cellular and battery backup ensures that the system will work no matter what,"Livi Smart Hub içift yönlü iletişim kanalı kullanır: Ethernet ve GSM. Hücresel ve pil yedeklemesi, sistemin ne olursa olsun çalışmasını sağlar",,
home,s3,button,home-s3-button,Find out more about how it works,Nasıl çalıştığı hakkında daha fazla bilgi edinin,,,,
home,s4,header,home-s4-header,Smart Home can be simple,Akıllı Ev basit olabilir,"Use the power of professional-grade quality home security in an affordable, DIY package. Never worry about service appointments, long-term contracts or hidden fees.","Uygun fiyatlı, DIY paketinde profesyonel kalitede ev güvenliğinin gücünü kullanın. Servis randevuları, uzun vadeli sözleşmeler veya gizli ücretler konusunda asla endişelenmeyin.",,
home,s4,i1,home-s4-i1,Choose and buy your security sensors and automation units,Güvenlik sensörlerinizi ve otomasyon birimlerinizi seçin ve satın alın,"Livicom is a flexible, expandable, and complete DIY smart home solution. Your home can be tailored to fit your needs and will do things you never thought possible","Livicom esnek, genişletilebilir ve eksiksiz bir DIY alarm ve otomasyon çözümüdür. Mekanınızının ihtiyaçlarına uyacak şekilde tasarlanabilir ve asla mümkün olduğunu düşünmediğiniz şeyleri yapar.",,
home,s4,i2,home-s4-i2,Set up your Smart Home system in just a few minutes,Alarm ve Otomasyon Sisteminizi birkaç dakika içinde kurun,Download Livicom app that wil let you receive notifications and control your smart home from anywhere. Activate and install wireless devices,Bildirimler almanıza ve akıllı evinizi her yerden kontrol etmenize izin verecek Livicom uygulamasını indirin. Kablosuz cihazları etkinleştirin ve kurun,,
home,s4,i3,home-s4-i3,Connect and customize,Bağlanın ve özelleştirin,"Send a shared access invitation to your loved ones, create scripts, remotely control your home, and receive information about its status on your smartphone","Sevdiklerinize bir erişim daveti gönderin, komut dosyaları oluşturun, sisteminizi uzaktan kontrol edin ve akıllı telefonunuzdaki durumu hakkında bilgi alın",,
products,hero,header,products-hero-header,Radio sensors and control units,"Alarm ve Otomasyon Sistemi: Kablosuz Sensörler, Kontrol üniteleri, Duman ve Hareket Dedektörleri","Build a system that meets your needs
",İhtiyaçlarınızı karşılayan akıllı güvenlik sistemi oluşturun.,,
mobile,hero,header,mobile-hero-header,Livicom Mobile App,Livicom Mobil Uygulaması,"The Livicom mobile app lets you remotely control Smart Home devices, provide access to those you trust, and automate the operation of household equipment using scenarios and schedules.","Livicom mobil uygulaması, Alarm ve Otomasyon cihazlarını uzaktan kontrol etmenizi, güvendiğiniz kişilere erişim sağlamanızı ve senaryolar ve programları kullanarak ev ekipmanının çalışmasını otomatikleştirmenizi sağlar.",,
mobile,hero,i1,mobile-hero-i1,,,"The Livicom mobile app was awarded «Best Application for Telecom/IT/Internet Company» at the prestigious Tagline Awards, and it was also awarded «Gold Application» in the «Productivity, Services, Education» category.","Livicom mobil uygulaması prestijli Tagline Ödülleri'nde ""Telekom / BT / İnternet Şirketi için En İyi Uygulama"" ödülüne layık görüldü ve ayrıca ""Verimlilik, Hizmetler, Eğitim"" kategorisinde ""Altın Uygulama"" ödülüne layık görüldü.",,
mobile,s1,header,mobile-s1-header,Automation scenarios,Otomasyon senaryoları,"Teach Livicom how to perform routine activities, create comfort scenarios, and simplify your everyday life","Livicom'a rutin aktiviteleri nasıl gerçekleştireceğini, konforu arttırıcı senaryoları nasıl çalıştıracağını ve günlük hayatınızı nasıl kolaylaştıracağını öğretin",,
mobile,s1,i1,mobile-s1-i1,,,"Smart Home Livicom adapts to your way of life. It fits into your daily routine, knows your habits and daily rituals, and performs some homecare activities itself.","Smart Home Livicom, yaşam tarzınıza uyum sağlar. Günlük rutininize uyar, alışkanlıklarınızı ve günlük ritüellerinizi bilir ve bazı ev işi faaliyetlerini kendisi gerçekleştirir.",,
mobile,s1,i2,mobile-s1-i2,,,"Livicom scenarios are rules you establish for your Smart Home. You tell it if there will be a specific event or a particular action must be performed. Livicom strictly obeys these rules, and you will be master of your home!","Livicom senaryoları, Otomasyon Sisteminiz için oluşturduğunuz kurallardır. Belirli bir olay olup olmayacağını veya belirli bir eylemin gerçekleştirilmesi gerektiğini söylüyorsunuz. Livicom bu kurallara kesinlikle uyar ve sisteminizin efendisi olursunuz!",,
mobile,s2,header,mobile-s2-header,Livicom supports three types of scenarios:,Livicom üç tip senaryoyu destekler:,Livicom üç tip altın daire:,,,
mobile,s2,i1,mobile-s2-i1,,, 1. <strong>Click driven:</strong> The scenario begins when you press the button on your key fob or in the mobile app. Group devices and create a common scenario for them.," 1. <strong>Tıklamaya dayalı:</strong> Senaryo, anahtarlığınızdaki veya mobil uygulamadaki düğmeye bastığınızda başlar. Cihazları gruplayın ve onlar için ortak bir senaryo oluşturun.",,
mobile,s2,i2,mobile-s2-i2,,,2.<strong>Event driven:</strong>The scenario specifies a sequence of actions to be performed automatically when a specific event occurs.,"2. <strong>Olay odaklı:</strong> Senaryo, belirli bir olay meydana geldiğinde otomatik olarak gerçekleştirilecek bir dizi eylemi belirtir.",,
mobile,s2,i3,mobile-s2-i3,,,"3. <strong>Schedule driven: </strong> The scenario lets you specify actions to be performed according to a schedule on an assigned day and time. Simulate your presence at a country home, configure daily watering of plants, and turn off lights and electrical appliances in the afternoon.","3. <strong>Programa dayalı:</strong> Senaryo, belirli bir gün ve saatte bir programa göre gerçekleştirilecek eylemleri belirlemenizi sağlar. Bir kır evindeki varlığınızı simüle edin, bahçenizin günlük sulamasını yapılandırın ve öğleden sonra ışıkları ve elektrikli aletleri kapatın.",,
mobile,s3,header,mobile-s3-header,Video Surveillance,Video izleme,"Look after your home remotely! Instantly check on your home, keep tabs on your furry friends and identify an intruder.",Heryerden ve herzaman evinizi kontrol edin! Tüylü arkadaşlarınızı takip edin ve bir davetsiz misafirleri yakalayın.,,
mobile,s3,i1,mobile-s3-i1,,,Livicom Smart Home lets you view online broadcasts from connected video cameras and configure automatic video recording based on alarm events. Livicom uses integration with the Ivideon service to provide video surveillance. You must be registered with the service before connecting cameras. The free plan allows you to connect up to 15 video cameras to a single account.,"Livicom Smart Home, bağlı video kameralardan çevrimiçi yayınları görüntülemenizi ve alarm olaylarına göre otomatik video kaydını yapılandırmanızı sağlar. Livicom, video gözetimi sağlamak için Ivideon hizmetiyle entegrasyon kullanır. Kameraları bağlamadan önce servise kaydolmanız gerekir. ",,
mobile,s3,i2,mobile-s3-i2,,,"You can connect cameras and video recorders through Ivideon using Ivideon software, and also connect IP cameras, web cameras, digital video recorders, and laptop and mobile phone cameras using any other vendor's software. Cameras with built-in Ivideon software are connected directly to the cloud service and require no additional programs. To connect cameras with third-party software, you need to use Ivideon Server that installed on an Internet-connected computer.","Kameraları ve video kayıt cihazlarını Ivideon yazılımını kullanarak Ivideon aracılığıyla bağlayabilir ve ayrıca başka bir satıcının yazılımını kullanarak IP kameraları, web kameraları, dijital video kaydedicileri ve dizüstü bilgisayar ve cep telefonu kameralarını bağlayabilirsiniz. Yerleşik Ivideon yazılımına sahip kameralar doğrudan bulut hizmetine bağlanır ve ek program gerektirmez. Kameraları üçüncü taraf yazılımlarla bağlamak için, İnternet bağlantılı bir bilgisayarda kurulu Ivideon Sunucusunu kullanmanız gerekir.",,
mobile,s4,i1,mobile-s4-i1,Customized notifications,Özelleştirilmiş bildirimler,"Be well Informed! Receive instant notifications on your smartphone and keep track of events that occur at your home. Select a message type that is convenient for you: push notification, SMS, e-mail, or voice call.","Haberdar Olun! Akıllı telefonunuza anında bildirimler alın ve evinizde meydana gelen olayları takip edin. Size uygun bir mesaj türü seçin: push bildirimi, SMS, e-posta veya sesli arama.",,
mobile,s4,i2,mobile-s4-i2,All user sites in one app,Tek uygulamada tüm kullanıcı siteleri,"The mobile app allows you to manage multiple user property sites simultaneously. These can be, for example, a country home, summer cottage, parent's house, villa in Spain, etc. The number of sites is unlimited.","Mobil uygulama, birden çok kullanıcı mülk sitesini aynı anda yönetmenize olanak tanır. Bunlar örneğin bir kır evi, yazlık ev, ebeveyn evi, İspanya'daki villa vb. Olabilir. Eklenebilen sistem   sayısı sınırsızdır.",,
mobile,s4,i3,mobile-s4-i3,Event log with data storage,Veri depolamalı olay günlüğü,"For each site, detailed event logs are recorded with a storage period of 30 days. The event log can be viewed in the mobile app at any time by selecting the desired site. The log shows alarm events, security alarm system enabling/disabling, script runs, enclosure opening, etc.","Her sistem için ayrıntılı olay günlükleri 30 günlük saklama süresi ile kaydedilir. Olay günlüğü, istenen site seçilerek herhangi bir zamanda mobil uygulamada görüntülenebilir. Günlük, alarm olaylarını, güvenlik alarm sistemini etkinleştirme / devre dışı bırakma, komut dosyası çalıştırma, vb. Gösterir.",,
mobile,s4,i4,mobile-s4-i4,User access rights,Kullanıcı erişim hakları,"Connect your family, friends, or neighbors to your home. They will receive an alert and come to your aid in a difficult situation. You can easily add new users by selecting them from your smartphone's contact list and sending them an invitation to manage your smart home. The homeowner can grant each user different rights, such as protection mode control, script launch, and specific appliance control. Notifications can be configured for each user, including alarms, service events, script runs, protection modes, and device status.","Ailenizi, arkadaşlarınızı veya komşularınızı sisteminize dahil edin.Tehlikeli bir durumda bir uyarı alacaklar ve yardımınıza gelecekler. Akıllı evinizi yönetmek için onları akıllı telefonunuzun kişi listesinden seçerek ve onlara bir davetiye göndererek kolayca yeni kullanıcılar ekleyebilirsiniz. Ev sahibi, her kullanıcıya koruma modu kontrolü, komut dosyası başlatma ve belirli cihaz kontrolü gibi farklı yetkiler verebilir. Alarmlar, hizmet olayları, komut dosyası çalıştırmaları, koruma modları ve cihaz durumu dahil olmak üzere her kullanıcı için bildirimler yapılandırılabilir.",,
mobile,s4,i5,mobile-s4-i5,Device adding and configuration,Cihaz ekleme ve yapılandırma,"Extend your system capabilities when your demands increase. The app allows you to connect new sensors to your Smart Home in seconds. Be inspired by ideas and routine decisions, set new tasks, and turn your home into a truly smart home! The Livicom app provides detailed step-by-step instructions for installing and configuring each sensor.","Talepleriniz arttığında sistem yeteneklerinizi genişletin. Uygulama, yeni sensörleri Akıllı Evinize saniyeler içinde bağlamanızı sağlar. Fikirlerden ve rutin kararlardan ilham alın. Livicom uygulaması, her bir sensörü kurmak ve yapılandırmak için ayrıntılı adım adım talimatlar sağlar.",,
mobile,s4,i6,mobile-s4-i6,Grouping devices,Cihazları gruplama,"To manage a large number of connected sensors, you can group them by any attribute. This can be the installation area (Sockets in the living room), device type (Leak protection modules), etc. You can control a group of devices using automation scripts or the mobile app's home page. For example, smart sockets can be automatically disabled when the security alarm system is activated.","Çok sayıda bağlı sensörü yönetmek için, bunları herhangi bir özelliğe göre gruplayabilirsiniz. Bu, kurulum alanı (oturma odasındaki akıllı prizler), cihaz tipi (Su baskını koruma modülleri) vb. Olabilir. Otomasyon komut dosyalarını veya mobil uygulamanın ana sayfasını kullanarak bir grup cihazı kontrol edebilirsiniz. Örneğin, güvenlik alarm sistemi etkinleştirildiğinde akıllı soketler otomatik olarak devre dışı bırakılabilir.",,
mobile,s4,i7,mobile-s4-i7,Sensor status control,Sensör durum kontrolü,"Sensors will send notifications indicating that the enclosure was opened or it needs maintenance. Communication level, battery and enclosure status are indicated in each sensor card.","Sensörler, kapağın açıldığını veya bakıma ihtiyacı olduğunu belirten bildirimler gönderecektir. Her sensör kartında iletişim seviyesi, pil ve sabotaj durumu gösterilir.",,
mobile,s4,i8,mobile-s4-i8,Customized interface,Özelleştirilmiş arayüz,"Each user can set any automation scripts as Favorites and customize the information widgets on the home page as they like. All changes are stored locally on the user's smartphone. The widgets show data from temperature sensors, smart sockets, resource sensors, and leak protection modules. Set them up to monitor water consumption, assess the power consumption of appliances, and monitor the temperature in all premises.","Her kullanıcı, herhangi bir otomasyon komut dosyasını Favoriler olarak ayarlayabilir ve ana sayfadaki bilgi widget'larını istediği gibi özelleştirebilir. Tüm değişiklikler yerel olarak kullanıcının akıllı telefonunda saklanır. Widget'lar sıcaklık sensörlerinden, akıllı prizlerden, röle kontrol sensörlerinden ve sızıntı koruma modüllerinden gelen verileri gösterir. Bunları su tüketimini izlemek, cihazların güç tüketimini değerlendirmek ve tüm tesislerdeki sıcaklığı izlemek için ayarlayın.",,
tech,hero,header,tech-hero-header,Technologies that make a home smart,Bir mekanı akıllı yapan teknolojiler,"And also provide security, fault protection, and comfort","Ayrıca güvenlik, arıza koruması ve konfor sağlar",,
tech,s1,i1,tech-s1-i1,,,"Livicom home security and comfort system lets you turn an ordinary home into a Smart Home. Livicom takes on some of the routine tasks and simplifies everyday life, helps to use resources efficiently, save money, and protects the premises from fires and unwanted guests","Livicom alarm ve otomasyon sistemi, sıradan bir yerler akıllı mekanlara dönüştürülür. Livicom bazı rutin görevleri üstlenir ve günlük yaşamı basitleştirir, kaynakların verimli kullanılmasına yardımcı olur, paradan tasarruf eder ve binayı yangınlardan ve izinsiz girişlerden korur.",,
tech,s2,header,tech-s2-header,Livicom,Livicom,"The system includes a Smart Home center, compatible equipment (radio sensors, control units, video cameras), and a mobile application. As the Smart Home center, Livi Smart Hub receives information from sensors, transmits commands to control units, monitors the execution of user scenarios, and provides connects to the cloud server and the home owner.","Alarm ve Otomasyon Sistemi, uyumlu ekipman (kablosuz sensörleri, kontrol üniteleri, video kameralar) ve bir mobil uygulama içerir. Livi Smart Hub, Alarm ve Otomasyon merkezi olarak sensörlerden bilgi alır, kontrol birimlerine komutlar iletir, kullanıcı senaryolarının yürütülmesini izler ve bulut sunucusuna ve ev sahibine bağlantı sağlar.",,
tech,s3,i1,tech-s3-i1,Reliable Cloud Server,Güvenilir Bulut Sunucusu,"Livicom Smart Home is developed and created in Russia by the largest manufacturer of monitoring systems. All user data is encrypted and stored in one of Russia's largest independent data centers, in which the top 3 Russian banks store their data. Third-party access to the server is impossible, and power supplies and communication channels are repeatedly redundant.","Livicom Smart Home, Rusya'da en büyük güvenlik sistemleri üreticisi tarafından oluşturulmuş ve geliştirilmiştir. Tüm kullanıcı verileri şifrelenir ve en büyük 3 Rus bankasının verilerini depoladığı Rusya'nın en büyük bağımsız veri merkezlerinden birinde saklanır. Sunucuya üçüncü taraf erişimi imkansızdır ve güç kaynakları ve iletişim kanalları art arda yedekli olur.",,
tech,s3,i2,tech-s3-i2,Free Mobile Application,Ücretsiz Mobil Uygulama,"The Livicom mobile app lets you remotely control Smart Home devices, provide access to those you trust, and automate the operation of household equipment using scenarios and schedules. Mobile app uses network traffic and electronic security key (token) encryption to secure your data.","Livicom mobil uygulaması, Alarm ve Otomasyon cihazlarını uzaktan kontrol etmenizi, güvendiğiniz kişilere erişim sağlamanızı ve senaryolar ve programları kullanarak ev ekipmanının çalışmasını otomatikleştirmenizi sağlar. Mobil uygulama, verilerinizin güvenliğini sağlamak için ağ trafiğini ve elektronik güvenlik anahtarı (belirteç) şifrelemesini kullanır.",,
tech,s3,button,tech-s3-button,,,Download Livicom mobile app,Livicom mobil uygulamasını indirin,,
tech,s3,i3,tech-s3-i3,Best Components,En İyi Bileşenler,Livicom radio devices technical solution is based on CC1310 high-end transceiver manufactured by Texas Instruments - one of world's leading chip manufacturers. Sophisticated architecture ensures extremely low energy consumption.,"Livicom kablosuz cihazların teknik çözümü, dünyanın önde gelen çip üreticilerinden biri olan Texas Instruments tarafından üretilen CC1310 yüksek kaliteli alıcı-vericiye dayanmaktadır. Gelişmiş mimari, son derece düşük enerji tüketimi sağlar.",,
tech,s4,i1,tech-s4-i1,Livi wireless sensors and control units,Livi kablosuz sensörler ve kontrol üniteleri,"Cost-effective DIY wireless smart home system can be installed with ease by the user. There's no need to drill holes or run wires around your home, you don't need to pay an installation team for setup.",Livicom Alarm ve Otomasyon Sistemi montajcı firma tarafından kolaylıkla kurulabilir. Mekanınızın etrafına kablo çekmenize gerek yoktur.,,
tech,s4,i2,tech-s4-i2,Modest and Weatherproof,Olumsuz Hava Koşullarına Dayanıklı,Livi radio sensors are weatherproof. Sensors will operate both in unheated environments and in hot/humid ones at peak summer temperatures. Livi radio devices can operate from –20 to +55 °С and automatically adjust to the ambient temperature.,Livi kablosuz sensörleri hava koşullarına dayanıklıdır. Sensörler hem ısıtılmayan ortamlarda hem de en yüksek yaz sıcaklıklarında sıcak / nemli ortamlarda çalışacaktır. Livi radyo cihazları –20 ile +55 ° С arasında çalışabilir ve ortam sıcaklığına otomatik olarak uyum sağlayabilir.,,
tech,s4,i3,tech-s4-i3,Two-Way Communication,Çift Yönlü İletişim,Two-way communication with sensors ensures quick identification of any malfunctions during system operation. An owner immediately finds out about the source and reason for the malfunction.,"Sensörlerle çift yönlü iletişim, sistem çalışması sırasında herhangi bir arızanın hızlı bir şekilde tanımlanmasını sağlar. Sistem kullanıcısı, arızanın kaynağı ve nedenini hemen öğrenir.",,
tech,s4,i4,tech-s4-i4,Unlimited Automation,Sınırsız Otomasyon,You can connect up to 256 Livi radio devices to Livi Smart Hub and up to 64 devices to Livi Smart Hub 2G. This is more than enough to control all your home's utility systems!,"Livi Smart Hub'a 256 adede kadar kablosuz cihaz, Livi Smart Hub 2G'ye 64 adede kadar kablosuz cihaz bağlanabilir. Bu, sisteminizin tüm yardımcı sistemlerini kontrol etmek için fazlasıyla yeterli!",,
tech,s5,i1,tech-s5-i1,Protection Against Intruders and Hackers,İzinsiz Girenlere ve Bilgisayar Korsanlarına Karşı Koruma,Security is our priority! Reliable encryption methods and a crypto chip ensure the system's protection against intrusion and device usage in organized bot attacks.,"Güvenlik önceliğimizdir! Güvenilir şifreleme yöntemleri ve bir kripto çipi, organize bot saldırılarında sistemin izinsiz girişlere ve cihaz kullanımına karşı korunmasını sağlar.",,
tech,s5,i2,tech-s5-i2,Frequency Selectivity,Frekans Seçiciliği,Livi devices operate in the frequency range of 868.7 MHz – 869.2 MHz. Automatic switching of frequencies during communication between sensors and a hub saves power and ensures delivery of notifications even when signal suppression is attempted.,"Livi cihazları 868.7 MHz - 869.2 MHz frekans aralığında çalışır. Sensörler ve bir hub arasındaki iletişim sırasında frekansların otomatik olarak değiştirilmesi, güç tasarrufu sağlar ve sinyal bastırmaya çalışıldığında bile bildirimlerin iletilmesini sağlar.",,
tech,s5,i3,tech-s5-i3,Long-Lasting Battery,Uzun Ömürlü Pil,"The system is stand-alone, self-sufficient, and does not require any maintenance costs. Devices will operate for 10 years on the included batteries.","Cihazlar, birlikte verilen pillerle 10 yıl çalışacaktır.",,
tech,s6,i1,tech-s6-i1,Excellent Range,Mükemmel Çekim Gücü,The Livi Smart Hub can be located up to 1 km from radio devices. Such range allows the system to work securely even in a large private residences with surrounding buildings.,"Livi Smart Hub, kablosuz cihazları 1 km'ye kadar yerleştirilebilir. Bu menzil, sistemin çevredeki binalarla büyük özel konutlarda bile güvenli bir şekilde çalışmasını sağlar.",,
tech,s6,i2,tech-s6-i2,Exceptional Speed,Olağanüstü Hız,All alerts are transmitted immediately! Livi radio devices communicate with a hub within a record 10 milliseconds. This is 5 times faster than the human eye blinks.,"Tüm uyarılar anında iletilir! Livi kablosuz cihazları, 10 milisaniye içinde bir hub ile rekor hızda iletişim kurar. Bu, insan gözünün kapanıp açılmasından 5 kat daha hızlıdır.",,
tech,s6,i3,tech-s6-i3,Adaptive Power,Uyarlanabilir Güç,"Each device consumes only as much power as it needs in order to transmit the signal. The closer the device is to the hub, the less power it consumes, thus automatically reducing transmitter power and extending battery life.","Her cihaz yalnızca sinyali iletmek için ihtiyaç duyduğu kadar güç tüketir. Cihaz hub'a ne kadar yakınsa, o kadar az güç tüketir, böylece otomatik olarak verici gücünü azaltır ve pil ömrünü uzatır.",,
tech,s6,i4,tech-s6-i4,Delivery assurance,HaberleşmeGüvencesi            Haberleşme Garantisi,"Livi Smart Hub can be connected to the Livicom platform via two communication channels: Ethernet and GSM. Channel duplication is used to ensure transmission of alarms, information about device malfunctions and communication failures to the users.","Livi Smart Hub, Livicom platformuna iki iletişim kanalı üzerinden bağlanabilir: Ethernet ve GSM. Alarmların, cihaz arızalarının ve haberleşme hatalarının kullanıcılara iletilmesini sağlamak için kanal çoğaltma kullanılır.",,
tech,s6,button,tech-s6-button,,,Go to Livi Radio Sensors and Control Units,Livi Kablosuz Sensörleri ve Kontrol Birimlerine gidin,,
about,s1,header,,,,Stels research and development company has been creating devices and software for professional security and fire monitoring since 2001.,"Stels araştırma ve geliştirme şirketi, 2001 yılından beri profesyonel güvenlik ve yangın izleme için cihazlar ve yazılımlar yaratmaktadır.",,
about,s2,i1,about-s2-i1,,,"Stels is located in the Tomsk technology development special economic zone. All products are created with our own resources: development, full manufacturing cycle, repair and technical support, and author's support. Our automated manufacturing plant and quality control system provide a «close to zero» rejection level. More than 500 thousand objects are protected by our equipment, including ATMs and branches of the largest banks.","Stels, Tomsk teknoloji geliştirme özel ekonomik bölgesinde yer almaktadır. Tüm ürünler kendi kaynaklarımızla oluşturulur: geliştirme, tam üretim döngüsü, onarım ve teknik destek ve yazalım desteği. Otomatik üretim tesisimiz ve kalite kontrol sistemimiz ""sıfıra yakın"" bir red seviyesi sağlar. En büyük bankaların ATM'leri ve şubeleri dahil olmak üzere 500 binden fazla tesis ekipmanlarımız tarafından korunmaktadır.",,
about,s2,i2,about-s2-i2,,,"We create invulnerable, user-friendly, and responsive systems that protect the lives and property of our customers. Our equipment operates without failure in critical situations. Our systems provide guaranteed and instant alerts if electricity and the Internet are lost and if hacking is attempted.","Müşterilerimizin canlarını ve mallarını koruyan, yenilmez, kullanıcı dostu ve duyarlı sistemler üretiyoruz. Ekipmanımız kritik durumlarda hatasız çalışır. Sistemlerimiz, elektrik ve İnternet kaybolursa ve bilgisayar korsanlığı girişiminde bulunursa garantili ve anında uyarılar sağlar.",,
about,s2,i3,about-s2-i3,,,"We are dedicated to creating devices and services that make our everyday life comfortable and secure. Based on our extensive experience, we created Livicom, a smart home system that will become your reliable home management assistant.","Günlük hayatımızı rahat ve güvenli kılan cihazlar ve hizmetler üretmeye kararlıyız. Kapsamlı deneyimimize dayanarak, güvenilir ev yönetimi yardımcınız olacak bir akıllı ev sistemi olan Livicom'u ürettik.",,
about,s3,header,about-s3-header,Contacts,İletişim,We are happy to answer your questions.,Sorularınıza cevap vermekten mutluluk duyuyoruz.,,
,,,,,,,,,
,,,,,,,,,
,,,--,,,,,,